"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","321,004,407","*****","321,004,407","(X)"
"        Male","158,018,753","±5,582","49.2%","±0.1"
"        Female","162,985,654","±5,587","50.8%","±0.1"
"        Sex ratio (males per 100 females)","97.0","±0.1","(X)","(X)"
"        Under 5 years","19,853,515","±3,810","6.2%","±0.1"
"        5 to 9 years","20,445,122","±22,827","6.4%","±0.1"
"        10 to 14 years","20,713,111","±23,674","6.5%","±0.1"
"        15 to 19 years","21,219,050","±8,352","6.6%","±0.1"
"        20 to 24 years","22,501,965","±7,058","7.0%","±0.1"
"        25 to 34 years","44,044,173","±7,758","13.7%","±0.1"
"        35 to 44 years","40,656,419","±7,693","12.7%","±0.1"
"        45 to 54 years","43,091,143","±8,166","13.4%","±0.1"
"        55 to 59 years","21,523,460","±22,187","6.7%","±0.1"
"        60 to 64 years","19,224,060","±21,739","6.0%","±0.1"
"        65 to 74 years","27,503,389","±4,545","8.6%","±0.1"
"        75 to 84 years","14,087,477","±15,331","4.4%","±0.1"
"        85 years and over","6,141,523","±15,229","1.9%","±0.1"
"        Median age (years)","37.8","±0.1","(X)","(X)"
"        Under 18 years","73,601,279","±6,961","22.9%","±0.1"
"        16 years and over","255,797,692","±17,051","79.7%","±0.1"
"        18 years and over","247,403,128","±6,913","77.1%","±0.1"
"        21 years and over","234,116,784","±26,431","72.9%","±0.1"
"        62 years and over","58,839,324","±19,800","18.3%","±0.1"
"        65 years and over","47,732,389","±4,845","14.9%","±0.1"
"        18 years and over","247,403,128","±6,913","247,403,128","(X)"
"            Male","120,408,314","±5,692","48.7%","±0.1"
"            Female","126,994,814","±4,366","51.3%","±0.1"
"            Sex ratio (males per 100 females)","94.8","±0.1","(X)","(X)"
"        65 years and over","47,732,389","±4,845","47,732,389","(X)"
"            Male","21,055,308","±2,999","44.1%","±0.1"
"            Female","26,677,081","±2,988","55.9%","±0.1"
"            Sex ratio (males per 100 females)","78.9","±0.1","(X)","(X)"
"RACE","","","",""
"    Total population","321,004,407","*****","321,004,407","(X)"
"        One race","310,923,363","±89,211","96.9%","±0.1"
"        Two or more races","10,081,044","±89,163","3.1%","±0.1"
"        One race","310,923,363","±89,211","96.9%","±0.1"
"            White","234,370,202","±57,873","73.0%","±0.1"
"            Black or African American","40,610,815","±29,048","12.7%","±0.1"
"            American Indian and Alaska Native","2,632,102","±14,293","0.8%","±0.1"
"                Cherokee tribal grouping","287,041","±4,165","0.1%","±0.1"
"                Chippewa tribal grouping","115,207","±2,215","0.0%","±0.1"
"                Navajo tribal grouping","319,332","±3,552","0.1%","±0.1"
"                Sioux tribal grouping","122,722","±2,737","0.0%","±0.1"
"            Asian","17,186,320","±20,171","5.4%","±0.1"
"                Asian Indian","3,672,647","±19,091","1.1%","±0.1"
"                Chinese","4,108,085","±20,025","1.3%","±0.1"
"                Filipino","2,809,791","±17,696","0.9%","±0.1"
"                Japanese","782,097","±8,747","0.2%","±0.1"
"                Korean","1,460,383","±13,220","0.5%","±0.1"
"                Vietnamese","1,753,333","±17,329","0.5%","±0.1"
"                Other Asian","2,599,984","±25,115","0.8%","±0.1"
"            Native Hawaiian and Other Pacific Islander","570,116","±4,939","0.2%","±0.1"
"                Native Hawaiian","181,105","±4,037","0.1%","±0.1"
"                Guamanian or Chamorro","80,012","±2,335","0.0%","±0.1"
"                Samoan","112,736","±4,097","0.0%","±0.1"
"                Other Pacific Islander","196,263","±4,928","0.1%","±0.1"
"            Some other race","15,553,808","±89,916","4.8%","±0.1"
"        Two or more races","10,081,044","±89,163","3.1%","±0.1"
"            White and Black or African American","2,657,560","±29,074","0.8%","±0.1"
"            White and American Indian and Alaska Native","1,905,946","±12,044","0.6%","±0.1"
"            White and Asian","2,057,321","±26,446","0.6%","±0.1"
"            Black or African American and American Indian and Alaska Native","319,097","±6,520","0.1%","±0.1"
"Race alone or in combination with one or more other races","","","",""
"    Total population","321,004,407","*****","321,004,407","(X)"
"        White","242,972,820","±105,227","75.7%","±0.1"
"        Black or African American","44,631,272","±28,624","13.9%","±0.1"
"        American Indian and Alaska Native","5,487,131","±19,708","1.7%","±0.1"
"        Asian","20,371,856","±21,804","6.3%","±0.1"
"        Native Hawaiian and Other Pacific Islander","1,327,014","±9,720","0.4%","±0.1"
"        Some other race","17,282,368","±74,903","5.4%","±0.1"
"HISPANIC OR LATINO AND RACE","","","",""
"    Total population","321,004,407","*****","321,004,407","(X)"
"        Hispanic or Latino (of any race)","56,510,571","±1,543","17.6%","±0.1"
"            Mexican","35,709,528","±58,000","11.1%","±0.1"
"            Puerto Rican","5,418,521","±29,096","1.7%","±0.1"
"            Cuban","2,158,962","±15,575","0.7%","±0.1"
"            Other Hispanic or Latino","13,223,560","±41,911","4.1%","±0.1"
"        Not Hispanic or Latino","264,493,836","±1,541","82.4%","±0.1"
"            White alone","197,277,789","±8,839","61.5%","±0.1"
"            Black or African American alone","39,445,495","±33,378","12.3%","±0.1"
"            American Indian and Alaska Native alone","2,098,763","±7,314","0.7%","±0.1"
"            Asian alone","16,989,540","±22,259","5.3%","±0.1"
"            Native Hawaiian and Other Pacific Islander alone","515,522","±4,308","0.2%","±0.1"
"            Some other race alone","715,432","±10,605","0.2%","±0.1"
"            Two or more races","7,451,295","±53,337","2.3%","±0.1"
"                Two races including Some other race","293,081","±5,616","0.1%","±0.1"
"                Two races excluding Some other race, and Three or more races","7,158,214","±51,527","2.2%","±0.1"
"Total housing units","135,393,564","±8,863","(X)","(X)"
"CITIZEN, VOTING AGE POPULATION","","","",""
"    Citizen, 18 and over population","226,926,207","±125,159","226,926,207","(X)"
"        Male","109,931,544","±67,116","48.4%","±0.1"
"        Female","116,994,663","±61,589","51.6%","±0.1"
